"GEOID","census_tract","borough","total_population"
"36005022800","Census Tract 228, Bronx County, New York"," Bronx County",6231
"36005022901","Census Tract 229.01, Bronx County, New York"," Bronx County",5568
"36005022902","Census Tract 229.02, Bronx County, New York"," Bronx County",3386
"36005023000","Census Tract 230, Bronx County, New York"," Bronx County",3334
"36005023100","Census Tract 231, Bronx County, New York"," Bronx County",1594
"36005023200","Census Tract 232, Bronx County, New York"," Bronx County",2704
"36005023301","Census Tract 233.01, Bronx County, New York"," Bronx County",4356
"36005023302","Census Tract 233.02, Bronx County, New York"," Bronx County",3614
"36005023501","Census Tract 235.01, Bronx County, New York"," Bronx County",3044
"36005023502","Census Tract 235.02, Bronx County, New York"," Bronx County",4706
"36005023600","Census Tract 236, Bronx County, New York"," Bronx County",2275
"36005023702","Census Tract 237.02, Bronx County, New York"," Bronx County",1216
"36005023703","Census Tract 237.03, Bronx County, New York"," Bronx County",5014
"36005023704","Census Tract 237.04, Bronx County, New York"," Bronx County",3717
"36005023800","Census Tract 238, Bronx County, New York"," Bronx County",2567
"36005023900","Census Tract 239, Bronx County, New York"," Bronx County",8282
"36005024000","Census Tract 240, Bronx County, New York"," Bronx County",3963
"36005024100","Census Tract 241, Bronx County, New York"," Bronx County",6324
"36005024300","Census Tract 243, Bronx County, New York"," Bronx County",5748
"36005024400","Census Tract 244, Bronx County, New York"," Bronx County",2551
"36005024501","Census Tract 245.01, Bronx County, New York"," Bronx County",5162
"36005024502","Census Tract 245.02, Bronx County, New York"," Bronx County",3619
"36005024600","Census Tract 246, Bronx County, New York"," Bronx County",2223
"36005024700","Census Tract 247, Bronx County, New York"," Bronx County",1964
"36005024800","Census Tract 248, Bronx County, New York"," Bronx County",3069
"36005024900","Census Tract 249, Bronx County, New York"," Bronx County",0
"36005025000","Census Tract 250, Bronx County, New York"," Bronx County",2663
"36005025100","Census Tract 251, Bronx County, New York"," Bronx County",6564
"36005025200","Census Tract 252, Bronx County, New York"," Bronx County",2692
"36005025300","Census Tract 253, Bronx County, New York"," Bronx County",5952
"36005025400","Census Tract 254, Bronx County, New York"," Bronx County",2200
"36005025500","Census Tract 255, Bronx County, New York"," Bronx County",5874
"36005025600","Census Tract 256, Bronx County, New York"," Bronx County",1831
"36005025700","Census Tract 257, Bronx County, New York"," Bronx County",1728
"36005026100","Census Tract 261, Bronx County, New York"," Bronx County",1958
"36005026300","Census Tract 263, Bronx County, New York"," Bronx County",6456
"36005026400","Census Tract 264, Bronx County, New York"," Bronx County",5842
"36005026500","Census Tract 265, Bronx County, New York"," Bronx County",7009
"36005026601","Census Tract 266.01, Bronx County, New York"," Bronx County",3035
"36005026602","Census Tract 266.02, Bronx County, New York"," Bronx County",5769
"36005026701","Census Tract 267.01, Bronx County, New York"," Bronx County",3659
"36005026702","Census Tract 267.02, Bronx County, New York"," Bronx County",6824
"36005026900","Census Tract 269, Bronx County, New York"," Bronx County",3862
"36005027300","Census Tract 273, Bronx County, New York"," Bronx County",8113
"36005027401","Census Tract 274.01, Bronx County, New York"," Bronx County",4576
"36005027402","Census Tract 274.02, Bronx County, New York"," Bronx County",3878
"36005027600","Census Tract 276, Bronx County, New York"," Bronx County",63
"36005027700","Census Tract 277, Bronx County, New York"," Bronx County",5892
"36005027900","Census Tract 279, Bronx County, New York"," Bronx County",6809
"36005028100","Census Tract 281, Bronx County, New York"," Bronx County",3974
"36005028300","Census Tract 283, Bronx County, New York"," Bronx County",3370
"36005028400","Census Tract 284, Bronx County, New York"," Bronx County",740
"36005028500","Census Tract 285, Bronx County, New York"," Bronx County",3233
"36005028600","Census Tract 286, Bronx County, New York"," Bronx County",1288
"36005028700","Census Tract 287, Bronx County, New York"," Bronx County",3281
"36005028800","Census Tract 288, Bronx County, New York"," Bronx County",3527
"36005028900","Census Tract 289, Bronx County, New York"," Bronx County",4326
"36005029301","Census Tract 293.01, Bronx County, New York"," Bronx County",1989
"36005029302","Census Tract 293.02, Bronx County, New York"," Bronx County",5597
"36005029500","Census Tract 295, Bronx County, New York"," Bronx County",4725
"36005029600","Census Tract 296, Bronx County, New York"," Bronx County",1660
"36005029700","Census Tract 297, Bronx County, New York"," Bronx County",3749
"36005030000","Census Tract 300, Bronx County, New York"," Bronx County",5801
"36005030100","Census Tract 301, Bronx County, New York"," Bronx County",1308
"36005030200","Census Tract 302, Bronx County, New York"," Bronx County",9607
"36005030701","Census Tract 307.01, Bronx County, New York"," Bronx County",5248
"36005030900","Census Tract 309, Bronx County, New York"," Bronx County",3896
"36005031000","Census Tract 310, Bronx County, New York"," Bronx County",4869
"36005031200","Census Tract 312, Bronx County, New York"," Bronx County",2015
"36005031400","Census Tract 314, Bronx County, New York"," Bronx County",2300
"36005031600","Census Tract 316, Bronx County, New York"," Bronx County",1956
"36005031800","Census Tract 318, Bronx County, New York"," Bronx County",2252
"36005031900","Census Tract 319, Bronx County, New York"," Bronx County",645
"36005032300","Census Tract 323, Bronx County, New York"," Bronx County",4595
"36005032400","Census Tract 324, Bronx County, New York"," Bronx County",2954
"36005032600","Census Tract 326, Bronx County, New York"," Bronx County",3576
"36005032800","Census Tract 328, Bronx County, New York"," Bronx County",4260
"36005033000","Census Tract 330, Bronx County, New York"," Bronx County",5697
"36005033201","Census Tract 332.01, Bronx County, New York"," Bronx County",4125
"36005033202","Census Tract 332.02, Bronx County, New York"," Bronx County",4207
"36005033400","Census Tract 334, Bronx County, New York"," Bronx County",1441
"36005033500","Census Tract 335, Bronx County, New York"," Bronx County",2207
"36005033600","Census Tract 336, Bronx County, New York"," Bronx County",6613
"36005033700","Census Tract 337, Bronx County, New York"," Bronx County",2277
"36005033800","Census Tract 338, Bronx County, New York"," Bronx County",4247
"36005034000","Census Tract 340, Bronx County, New York"," Bronx County",4582
"36005034200","Census Tract 342, Bronx County, New York"," Bronx County",2128
"36005034300","Census Tract 343, Bronx County, New York"," Bronx County",1755
"36005034400","Census Tract 344, Bronx County, New York"," Bronx County",2324
"36005034500","Census Tract 345, Bronx County, New York"," Bronx County",3461
"36005034800","Census Tract 348, Bronx County, New York"," Bronx County",7306
"36005035000","Census Tract 350, Bronx County, New York"," Bronx County",1781
"36005035100","Census Tract 351, Bronx County, New York"," Bronx County",3296
"36005035600","Census Tract 356, Bronx County, New York"," Bronx County",2367
"36005035800","Census Tract 358, Bronx County, New York"," Bronx County",7558
"36005035900","Census Tract 359, Bronx County, New York"," Bronx County",1960
"36005036000","Census Tract 360, Bronx County, New York"," Bronx County",3063
"36005036100","Census Tract 361, Bronx County, New York"," Bronx County",6099
"36005036300","Census Tract 363, Bronx County, New York"," Bronx County",7977
"36005036400","Census Tract 364, Bronx County, New York"," Bronx County",2389
"36005036501","Census Tract 365.01, Bronx County, New York"," Bronx County",3904
"36005036502","Census Tract 365.02, Bronx County, New York"," Bronx County",2002
"36005036700","Census Tract 367, Bronx County, New York"," Bronx County",2709
"36005036800","Census Tract 368, Bronx County, New York"," Bronx County",2186
"36005036901","Census Tract 369.01, Bronx County, New York"," Bronx County",2276
"36005036902","Census Tract 369.02, Bronx County, New York"," Bronx County",2236
"36005037000","Census Tract 370, Bronx County, New York"," Bronx County",2463
"36005037100","Census Tract 371, Bronx County, New York"," Bronx County",3908
"36005037200","Census Tract 372, Bronx County, New York"," Bronx County",2052
"36005037300","Census Tract 373, Bronx County, New York"," Bronx County",5463
"36005037400","Census Tract 374, Bronx County, New York"," Bronx County",3713
"36005037504","Census Tract 375.04, Bronx County, New York"," Bronx County",3690
"36005037600","Census Tract 376, Bronx County, New York"," Bronx County",2440
"36005037800","Census Tract 378, Bronx County, New York"," Bronx County",3233
"36005037900","Census Tract 379, Bronx County, New York"," Bronx County",5287
"36005038000","Census Tract 380, Bronx County, New York"," Bronx County",4755
"36005038100","Census Tract 381, Bronx County, New York"," Bronx County",6534
"36005038200","Census Tract 382, Bronx County, New York"," Bronx County",2666
"36005038301","Census Tract 383.01, Bronx County, New York"," Bronx County",4356
"36005038302","Census Tract 383.02, Bronx County, New York"," Bronx County",5941
"36005038500","Census Tract 385, Bronx County, New York"," Bronx County",5025
"36005038600","Census Tract 386, Bronx County, New York"," Bronx County",7477
"36005038700","Census Tract 387, Bronx County, New York"," Bronx County",3297
"36005038800","Census Tract 388, Bronx County, New York"," Bronx County",2471
"36005038900","Census Tract 389, Bronx County, New York"," Bronx County",5908
"36005039000","Census Tract 390, Bronx County, New York"," Bronx County",3191
