"GEOID","census_tract","borough","total_population","never_married","now_married","divorced"
36005016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,0.547760388559093,0.365353480841878,0.0480302212628171
36005016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,0.510679611650485,0.266990291262136,0.158252427184466
36005017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,NA,NA,NA
36005017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,0.468475821260967,0.38012650479494,0.0897775964088961
36005017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,0.450832672482157,0.360626486915147,0.12609040444092
36005017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,0.461805555555556,0.399305555555556,0.0732060185185185
36005017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,0.539765942202054,0.337473131120134,0.0814425603057082
36005017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,0.49596557288865,0.389725658956428,0.0825712748789672
36005017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,0.504836975994267,0.379433894661412,0.0981726979577213
36005018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,0.534332084893883,0.294631710362047,0.114024136496047
36005018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,0.426065162907268,0.419002050580998,0.10457963089542
36005018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,0.430242272347535,0.385129490392648,0.115288220551378
36005018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,0.495241116751269,0.371192893401015,0.118337563451777
36005018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,0.368013468013468,0.467003367003367,0.0818181818181818
36005018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,0.53552790044159,0.321356884785227,0.11641910879165
36005018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,0.514447027565593,0.332447691796745,0.125705745599469
36005019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,0.574607636448817,0.275240103068634,0.106348090887796
36005019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,0.489606126914661,0.404266958424508,0.074945295404814
36005019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,0.514553191489362,0.320510638297872,0.129021276595745
36005019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,0.477794793261868,0.422473200612557,0.072166921898928
36005019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,0.496615486214298,0.386329866270431,0.0856859831599802
