"BoroCT2010","census_tract","borough","total_population","data"
365022500,"Census Tract 225, Bronx County, New York"," Bronx County",8066,8066
365022701,"Census Tract 227.01, Bronx County, New York"," Bronx County",5917,5917
365022702,"Census Tract 227.02, Bronx County, New York"," Bronx County",1485,1485
365022703,"Census Tract 227.03, Bronx County, New York"," Bronx County",1871,1871
365022800,"Census Tract 228, Bronx County, New York"," Bronx County",6231,6231
365022901,"Census Tract 229.01, Bronx County, New York"," Bronx County",5568,5568
365022902,"Census Tract 229.02, Bronx County, New York"," Bronx County",3386,3386
365023000,"Census Tract 230, Bronx County, New York"," Bronx County",3334,3334
365023100,"Census Tract 231, Bronx County, New York"," Bronx County",1594,1594
365023200,"Census Tract 232, Bronx County, New York"," Bronx County",2704,2704
365023301,"Census Tract 233.01, Bronx County, New York"," Bronx County",4356,4356
365023302,"Census Tract 233.02, Bronx County, New York"," Bronx County",3614,3614
365023501,"Census Tract 235.01, Bronx County, New York"," Bronx County",3044,3044
365023502,"Census Tract 235.02, Bronx County, New York"," Bronx County",4706,4706
365023600,"Census Tract 236, Bronx County, New York"," Bronx County",2275,2275
365023702,"Census Tract 237.02, Bronx County, New York"," Bronx County",1216,1216
365023703,"Census Tract 237.03, Bronx County, New York"," Bronx County",5014,5014
365023704,"Census Tract 237.04, Bronx County, New York"," Bronx County",3717,3717
365023800,"Census Tract 238, Bronx County, New York"," Bronx County",2567,2567
365023900,"Census Tract 239, Bronx County, New York"," Bronx County",8282,8282
365024000,"Census Tract 240, Bronx County, New York"," Bronx County",3963,3963
365024100,"Census Tract 241, Bronx County, New York"," Bronx County",6324,6324
365024300,"Census Tract 243, Bronx County, New York"," Bronx County",5748,5748
365024400,"Census Tract 244, Bronx County, New York"," Bronx County",2551,2551
365024501,"Census Tract 245.01, Bronx County, New York"," Bronx County",5162,5162
365024502,"Census Tract 245.02, Bronx County, New York"," Bronx County",3619,3619
365024600,"Census Tract 246, Bronx County, New York"," Bronx County",2223,2223
365024700,"Census Tract 247, Bronx County, New York"," Bronx County",1964,1964
365024800,"Census Tract 248, Bronx County, New York"," Bronx County",3069,3069
365024900,"Census Tract 249, Bronx County, New York"," Bronx County",0,0
365025000,"Census Tract 250, Bronx County, New York"," Bronx County",2663,2663
365025100,"Census Tract 251, Bronx County, New York"," Bronx County",6564,6564
365025200,"Census Tract 252, Bronx County, New York"," Bronx County",2692,2692
365025300,"Census Tract 253, Bronx County, New York"," Bronx County",5952,5952
365025400,"Census Tract 254, Bronx County, New York"," Bronx County",2200,2200
365025500,"Census Tract 255, Bronx County, New York"," Bronx County",5874,5874
365025600,"Census Tract 256, Bronx County, New York"," Bronx County",1831,1831
365025700,"Census Tract 257, Bronx County, New York"," Bronx County",1728,1728
365026100,"Census Tract 261, Bronx County, New York"," Bronx County",1958,1958
365026300,"Census Tract 263, Bronx County, New York"," Bronx County",6456,6456
365026400,"Census Tract 264, Bronx County, New York"," Bronx County",5842,5842
365026500,"Census Tract 265, Bronx County, New York"," Bronx County",7009,7009
365026601,"Census Tract 266.01, Bronx County, New York"," Bronx County",3035,3035
365026602,"Census Tract 266.02, Bronx County, New York"," Bronx County",5769,5769
365026701,"Census Tract 267.01, Bronx County, New York"," Bronx County",3659,3659
365026702,"Census Tract 267.02, Bronx County, New York"," Bronx County",6824,6824
365026900,"Census Tract 269, Bronx County, New York"," Bronx County",3862,3862
365027300,"Census Tract 273, Bronx County, New York"," Bronx County",8113,8113
365027401,"Census Tract 274.01, Bronx County, New York"," Bronx County",4576,4576
365027402,"Census Tract 274.02, Bronx County, New York"," Bronx County",3878,3878
365027600,"Census Tract 276, Bronx County, New York"," Bronx County",63,63
365027700,"Census Tract 277, Bronx County, New York"," Bronx County",5892,5892
365027900,"Census Tract 279, Bronx County, New York"," Bronx County",6809,6809
365028100,"Census Tract 281, Bronx County, New York"," Bronx County",3974,3974
365028300,"Census Tract 283, Bronx County, New York"," Bronx County",3370,3370
365028400,"Census Tract 284, Bronx County, New York"," Bronx County",740,740
365028500,"Census Tract 285, Bronx County, New York"," Bronx County",3233,3233
365028600,"Census Tract 286, Bronx County, New York"," Bronx County",1288,1288
365028700,"Census Tract 287, Bronx County, New York"," Bronx County",3281,3281
365028800,"Census Tract 288, Bronx County, New York"," Bronx County",3527,3527
