"GEOID","census_tract","borough","total_population","non_family"
36005021301,"Census Tract 213.01, Bronx County, New York"," Bronx County",1194,0.305010893246187
36005021302,"Census Tract 213.02, Bronx County, New York"," Bronx County",6061,0.326364099949006
36005021501,"Census Tract 215.01, Bronx County, New York"," Bronx County",4726,0.185449358059914
36005021502,"Census Tract 215.02, Bronx County, New York"," Bronx County",6013,0.333333333333333
36005021601,"Census Tract 216.01, Bronx County, New York"," Bronx County",4137,0.412988650693569
36005021602,"Census Tract 216.02, Bronx County, New York"," Bronx County",6243,0.475963448549861
36005021700,"Census Tract 217, Bronx County, New York"," Bronx County",5000,0.360597014925373
36005021800,"Census Tract 218, Bronx County, New York"," Bronx County",6882,0.320158102766798
36005021900,"Census Tract 219, Bronx County, New York"," Bronx County",1277,0.361858190709046
36005022000,"Census Tract 220, Bronx County, New York"," Bronx County",2176,0.213362068965517
36005022101,"Census Tract 221.01, Bronx County, New York"," Bronx County",3884,0.208717518860017
36005022102,"Census Tract 221.02, Bronx County, New York"," Bronx County",5010,0.293114339861023
36005022200,"Census Tract 222, Bronx County, New York"," Bronx County",3414,0.313825275657337
36005022300,"Census Tract 223, Bronx County, New York"," Bronx County",5108,0.316393442622951
36005022401,"Census Tract 224.01, Bronx County, New York"," Bronx County",2652,0.525179856115108
36005022403,"Census Tract 224.03, Bronx County, New York"," Bronx County",3502,0.315151515151515
36005022404,"Census Tract 224.04, Bronx County, New York"," Bronx County",4187,0.348644161593802
36005022500,"Census Tract 225, Bronx County, New York"," Bronx County",8066,0.332899869960988
36005022701,"Census Tract 227.01, Bronx County, New York"," Bronx County",5917,0.328048113723346
36005022702,"Census Tract 227.02, Bronx County, New York"," Bronx County",1485,0.470588235294118
36005022703,"Census Tract 227.03, Bronx County, New York"," Bronx County",1871,0.177777777777778
36005022800,"Census Tract 228, Bronx County, New York"," Bronx County",6231,0.407134071340713
36005022901,"Census Tract 229.01, Bronx County, New York"," Bronx County",5568,0.286130536130536
36005022902,"Census Tract 229.02, Bronx County, New York"," Bronx County",3386,0.20970695970696
36005023000,"Census Tract 230, Bronx County, New York"," Bronx County",3334,0.306163021868787
36005023100,"Census Tract 231, Bronx County, New York"," Bronx County",1594,0.349206349206349
36005023200,"Census Tract 232, Bronx County, New York"," Bronx County",2704,0.291666666666667
36005023301,"Census Tract 233.01, Bronx County, New York"," Bronx County",4356,0.336405529953917
36005023302,"Census Tract 233.02, Bronx County, New York"," Bronx County",3614,0.208550573514077
36005023501,"Census Tract 235.01, Bronx County, New York"," Bronx County",3044,0.381255686988171
36005023502,"Census Tract 235.02, Bronx County, New York"," Bronx County",4706,0.404860699466509
36005023600,"Census Tract 236, Bronx County, New York"," Bronx County",2275,0.328100470957614
36005023702,"Census Tract 237.02, Bronx County, New York"," Bronx County",1216,0.290123456790123
36005023703,"Census Tract 237.03, Bronx County, New York"," Bronx County",5014,0.222454672245467
36005023704,"Census Tract 237.04, Bronx County, New York"," Bronx County",3717,0.367756315007429
36005023800,"Census Tract 238, Bronx County, New York"," Bronx County",2567,0.243870967741935
36005023900,"Census Tract 239, Bronx County, New York"," Bronx County",8282,0.284867641248518
36005024000,"Census Tract 240, Bronx County, New York"," Bronx County",3963,0.243776824034335
36005024100,"Census Tract 241, Bronx County, New York"," Bronx County",6324,0.231281198003328
36005024300,"Census Tract 243, Bronx County, New York"," Bronx County",5748,0.328824141519251
36005024400,"Census Tract 244, Bronx County, New York"," Bronx County",2551,0.302663438256659
36005024501,"Census Tract 245.01, Bronx County, New York"," Bronx County",5162,0.263024142312579
36005024502,"Census Tract 245.02, Bronx County, New York"," Bronx County",3619,0.191000918273646
36005024600,"Census Tract 246, Bronx County, New York"," Bronx County",2223,0.326693227091633
36005024700,"Census Tract 247, Bronx County, New York"," Bronx County",1964,0.433783783783784
36005024800,"Census Tract 248, Bronx County, New York"," Bronx County",3069,0.457118353344768
36005024900,"Census Tract 249, Bronx County, New York"," Bronx County",0,NA
36005025000,"Census Tract 250, Bronx County, New York"," Bronx County",2663,0.377643504531722
36005025100,"Census Tract 251, Bronx County, New York"," Bronx County",6564,0.349555451567618
36005025200,"Census Tract 252, Bronx County, New York"," Bronx County",2692,0.349480968858132
36005025300,"Census Tract 253, Bronx County, New York"," Bronx County",5952,0.318739989321943
36005025400,"Census Tract 254, Bronx County, New York"," Bronx County",2200,0.375634517766497
36005025500,"Census Tract 255, Bronx County, New York"," Bronx County",5874,0.428116469517743
36005025600,"Census Tract 256, Bronx County, New York"," Bronx County",1831,0.345679012345679
36005025700,"Census Tract 257, Bronx County, New York"," Bronx County",1728,0.394984326018809
36005026100,"Census Tract 261, Bronx County, New York"," Bronx County",1958,0.5041928721174
36005026300,"Census Tract 263, Bronx County, New York"," Bronx County",6456,0.28551724137931
36005026400,"Census Tract 264, Bronx County, New York"," Bronx County",5842,0.270311701584057
36005026500,"Census Tract 265, Bronx County, New York"," Bronx County",7009,0.287059990084284
36005026601,"Census Tract 266.01, Bronx County, New York"," Bronx County",3035,0.449885233358837
