"GEOID","census_tract","borough","total_population","two_three","four_five","sixplus"
36047032800,"Census Tract 328, Kings County, New York"," Kings County",2621,0.619760479041916,0.29940119760479,0.0808383233532934
36047032900,"Census Tract 329, Kings County, New York"," Kings County",5783,0.642961876832845,0.290322580645161,0.0667155425219941
36047033000,"Census Tract 330, Kings County, New York"," Kings County",4634,0.753403933434191,0.203479576399395,0.0431164901664145
36047033100,"Census Tract 331, Kings County, New York"," Kings County",4378,0.552270327349525,0.276663146779303,0.171066525871172
36047033300,"Census Tract 333, Kings County, New York"," Kings County",4719,0.471810089020772,0.248269040553907,0.279920870425321
36047033500,"Census Tract 335, Kings County, New York"," Kings County",3115,0.412962962962963,0.35,0.237037037037037
36047033600,"Census Tract 336, Kings County, New York"," Kings County",4008,0.637037037037037,0.265608465608466,0.0973544973544974
36047033700,"Census Tract 337, Kings County, New York"," Kings County",3818,0.561692126909518,0.350176263219741,0.0881316098707403
36047033900,"Census Tract 339, Kings County, New York"," Kings County",4495,0.621336459554513,0.243845252051583,0.134818288393904
36047034000,"Census Tract 340, Kings County, New York"," Kings County",2166,0.845208845208845,0.144963144963145,0.00982800982800983
36047034100,"Census Tract 341, Kings County, New York"," Kings County",2803,0.752307692307692,0.223076923076923,0.0246153846153846
36047034200,"Census Tract 342, Kings County, New York"," Kings County",5748,0.645255474452555,0.30948905109489,0.0452554744525547
36047034300,"Census Tract 343, Kings County, New York"," Kings County",5097,0.635327635327635,0.297245963912631,0.0674264007597341
36047034500,"Census Tract 345, Kings County, New York"," Kings County",2899,0.644345238095238,0.220238095238095,0.135416666666667
36047034700,"Census Tract 347, Kings County, New York"," Kings County",3326,0.717752234993614,0.16602809706258,0.116219667943806
36047034800,"Census Tract 348, Kings County, New York"," Kings County",2185,0.510891089108911,0.413861386138614,0.0752475247524752
36047034900,"Census Tract 349, Kings County, New York"," Kings County",5297,0.609195402298851,0.34072249589491,0.0500821018062397
36047035000,"Census Tract 350, Kings County, New York"," Kings County",2806,0.851805728518057,0.148194271481943,0
36047035100,"Census Tract 351, Kings County, New York"," Kings County",4437,0.631730769230769,0.256730769230769,0.111538461538462
36047035200,"Census Tract 352, Kings County, New York"," Kings County",1035,1,0,0
36047035300,"Census Tract 353, Kings County, New York"," Kings County",5140,0.642578125,0.24609375,0.111328125
36047035400,"Census Tract 354, Kings County, New York"," Kings County",5373,0.861922141119221,0.138077858880779,0
36047035500,"Census Tract 355, Kings County, New York"," Kings County",5620,0.628500823723229,0.250411861614498,0.121087314662273
36047035601,"Census Tract 356.01, Kings County, New York"," Kings County",2592,0.811797752808989,0.188202247191011,0
36047035602,"Census Tract 356.02, Kings County, New York"," Kings County",4835,0.852354349561053,0.147645650438947,0
36047035700,"Census Tract 357, Kings County, New York"," Kings County",2499,0.641207815275311,0.264653641207815,0.0941385435168739
36047035900,"Census Tract 359, Kings County, New York"," Kings County",5213,0.762414056531704,0.204736440030558,0.0328495034377387
36047036001,"Census Tract 360.01, Kings County, New York"," Kings County",2899,0.869017632241814,0.114609571788413,0.0163727959697733
36047036002,"Census Tract 360.02, Kings County, New York"," Kings County",3975,0.76634382566586,0.176755447941889,0.0569007263922518
36047036100,"Census Tract 361, Kings County, New York"," Kings County",2375,0.659836065573771,0.305327868852459,0.0348360655737705
36047036200,"Census Tract 362, Kings County, New York"," Kings County",3345,0.598666666666667,0.228,0.173333333333333
36047036300,"Census Tract 363, Kings County, New York"," Kings County",4076,0.667334669338677,0.266533066132265,0.0661322645290581
36047036400,"Census Tract 364, Kings County, New York"," Kings County",2077,0.685598377281947,0.219066937119675,0.0953346855983773
36047036501,"Census Tract 365.01, Kings County, New York"," Kings County",2677,0.624398073836276,0.357945425361156,0.0176565008025682
36047036502,"Census Tract 365.02, Kings County, New York"," Kings County",1164,0.679824561403509,0.254385964912281,0.0657894736842105
36047036600,"Census Tract 366, Kings County, New York"," Kings County",4702,0.498492462311558,0.334673366834171,0.166834170854271
36047036700,"Census Tract 367, Kings County, New York"," Kings County",1426,0.699186991869919,0.287262872628726,0.013550135501355
36047036900,"Census Tract 369, Kings County, New York"," Kings County",4839,0.639896373056995,0.274611398963731,0.0854922279792746
36047037000,"Census Tract 370, Kings County, New York"," Kings County",4074,0.553703703703704,0.407407407407407,0.0388888888888889
36047037100,"Census Tract 371, Kings County, New York"," Kings County",4705,0.623420387531592,0.341196293176074,0.0353833192923336
36047037300,"Census Tract 373, Kings County, New York"," Kings County",4110,0.598947368421053,0.330526315789474,0.0705263157894737
36047037401,"Census Tract 374.01, Kings County, New York"," Kings County",4174,0.681440443213296,0.248384118190212,0.0701754385964912
36047037402,"Census Tract 374.02, Kings County, New York"," Kings County",4668,0.64936247723133,0.211293260473588,0.139344262295082
36047037500,"Census Tract 375, Kings County, New York"," Kings County",3129,0.647907647907648,0.27994227994228,0.0721500721500721
36047037700,"Census Tract 377, Kings County, New York"," Kings County",4240,0.594784353059178,0.365095285857573,0.0401203610832497
36047037900,"Census Tract 379, Kings County, New York"," Kings County",3537,0.734553775743707,0.223112128146453,0.0423340961098398
36047038100,"Census Tract 381, Kings County, New York"," Kings County",5550,0.617760617760618,0.345945945945946,0.0362934362934363
36047038200,"Census Tract 382, Kings County, New York"," Kings County",5786,0.621171770972037,0.343541944074567,0.0352862849533955
36047038300,"Census Tract 383, Kings County, New York"," Kings County",4655,0.495789473684211,0.346315789473684,0.157894736842105
36047038500,"Census Tract 385, Kings County, New York"," Kings County",3364,0.529780564263323,0.412225705329154,0.0579937304075235
36047038600,"Census Tract 386, Kings County, New York"," Kings County",3622,0.503401360544218,0.405895691609977,0.090702947845805
36047038700,"Census Tract 387, Kings County, New York"," Kings County",4058,0.540757749712974,0.371986222732491,0.087256027554535
36047038800,"Census Tract 388, Kings County, New York"," Kings County",4049,0.515215110178384,0.348373557187828,0.136411332633788
36047038900,"Census Tract 389, Kings County, New York"," Kings County",3249,0.590417310664606,0.272024729520866,0.137557959814529
36047039000,"Census Tract 390, Kings County, New York"," Kings County",2318,0.525270758122744,0.310469314079422,0.164259927797834
36047039100,"Census Tract 391, Kings County, New York"," Kings County",3086,0.552504038772213,0.292407108239095,0.155088852988691
36047039200,"Census Tract 392, Kings County, New York"," Kings County",2807,0.611267605633803,0.308450704225352,0.0802816901408451
