"GEOID","census_tract","borough","total_population","disability"
36005019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,0.123144104803493
36005020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,0.126217704362558
36005020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,0.17251872659176
36005020200,"Census Tract 202, Bronx County, New York"," Bronx County",2232,0.151881720430108
36005020400,"Census Tract 204, Bronx County, New York"," Bronx County",3131,0.0884701373363143
36005020501,"Census Tract 205.01, Bronx County, New York"," Bronx County",7030,0.189473684210526
36005020502,"Census Tract 205.02, Bronx County, New York"," Bronx County",2123,0.206311822892134
36005020601,"Census Tract 206.01, Bronx County, New York"," Bronx County",2724,0.138766519823789
36005020900,"Census Tract 209, Bronx County, New York"," Bronx County",4351,0.131923695702137
36005021001,"Census Tract 210.01, Bronx County, New York"," Bronx County",9254,0.0894748216987249
36005021002,"Census Tract 210.02, Bronx County, New York"," Bronx County",6416,0.118609725685786
36005021100,"Census Tract 211, Bronx County, New York"," Bronx County",5506,0.148998178506375
36005021200,"Census Tract 212, Bronx County, New York"," Bronx County",5257,0.114133536237398
36005021301,"Census Tract 213.01, Bronx County, New York"," Bronx County",1194,0.153266331658291
36005021302,"Census Tract 213.02, Bronx County, New York"," Bronx County",6061,0.125556838805478
36005021501,"Census Tract 215.01, Bronx County, New York"," Bronx County",4726,0.132308358596795
36005021502,"Census Tract 215.02, Bronx County, New York"," Bronx County",6013,0.145185431564943
36005021601,"Census Tract 216.01, Bronx County, New York"," Bronx County",4137,0.145274353396181
36005021602,"Census Tract 216.02, Bronx County, New York"," Bronx County",6243,0.135323705987344
36005021700,"Census Tract 217, Bronx County, New York"," Bronx County",5000,0.2176
36005021800,"Census Tract 218, Bronx County, New York"," Bronx County",6882,0.117895657242786
36005021900,"Census Tract 219, Bronx County, New York"," Bronx County",1277,0.16523101018011
36005022000,"Census Tract 220, Bronx County, New York"," Bronx County",2176,0.169117647058824
36005022101,"Census Tract 221.01, Bronx County, New York"," Bronx County",3884,0.129505664263646
36005022102,"Census Tract 221.02, Bronx County, New York"," Bronx County",5010,0.205189620758483
36005022200,"Census Tract 222, Bronx County, New York"," Bronx County",3414,0.0890451083772701
36005022300,"Census Tract 223, Bronx County, New York"," Bronx County",5108,0.174628034455756
36005022401,"Census Tract 224.01, Bronx County, New York"," Bronx County",2652,0.110105580693816
36005022403,"Census Tract 224.03, Bronx County, New York"," Bronx County",3502,0.191890348372359
36005022404,"Census Tract 224.04, Bronx County, New York"," Bronx County",4187,0.080487222354908
36005022500,"Census Tract 225, Bronx County, New York"," Bronx County",8066,0.100049590875279
36005022701,"Census Tract 227.01, Bronx County, New York"," Bronx County",5917,0.140943012211669
36005022702,"Census Tract 227.02, Bronx County, New York"," Bronx County",1485,0.121885521885522
36005022703,"Census Tract 227.03, Bronx County, New York"," Bronx County",1871,0.082843399251737
36005022800,"Census Tract 228, Bronx County, New York"," Bronx County",6231,0.111378590916386
36005022901,"Census Tract 229.01, Bronx County, New York"," Bronx County",5568,0.10308908045977
36005022902,"Census Tract 229.02, Bronx County, New York"," Bronx County",3386,0.093325457767277
36005023000,"Census Tract 230, Bronx County, New York"," Bronx County",3334,0.0905818836232753
36005023100,"Census Tract 231, Bronx County, New York"," Bronx County",1594,0.177538668459987
36005023200,"Census Tract 232, Bronx County, New York"," Bronx County",2704,0.101701183431953
36005023301,"Census Tract 233.01, Bronx County, New York"," Bronx County",4356,0.150826446280992
36005023302,"Census Tract 233.02, Bronx County, New York"," Bronx County",3614,0.154122855561704
36005023501,"Census Tract 235.01, Bronx County, New York"," Bronx County",3044,0.162614980289093
36005023502,"Census Tract 235.02, Bronx County, New York"," Bronx County",4706,0.136920384951881
