"GEOID","census_tract","borough","total_population","total","car_alone","car_pooled","public","walked"
36005012300,"Census Tract 123, Bronx County, New York"," Bronx County",4379,1497,0.124916499665999,0.0180360721442886,0.696058784235137,0.0981963927855711
36005012500,"Census Tract 125, Bronx County, New York"," Bronx County",4272,1393,0.215362526920316,0.0373295046661881,0.615936826992103,0.0603015075376884
36005012701,"Census Tract 127.01, Bronx County, New York"," Bronx County",1992,634,0.0441640378548896,0.0425867507886435,0.722397476340694,0.168769716088328
36005012901,"Census Tract 129.01, Bronx County, New York"," Bronx County",4017,995,0.0793969849246231,0.0321608040201005,0.755778894472362,0.0743718592964824
36005013000,"Census Tract 130, Bronx County, New York"," Bronx County",1364,741,0.520917678812416,0.145748987854251,0.303643724696356,0.00944669365721997
36005013100,"Census Tract 131, Bronx County, New York"," Bronx County",4685,1646,0.165249088699879,0.0267314702308627,0.671931956257594,0.0601458080194411
36005013200,"Census Tract 132, Bronx County, New York"," Bronx County",7426,3595,0.539638386648122,0.0675938803894298,0.306258692628651,0.0700973574408901
36005013300,"Census Tract 133, Bronx County, New York"," Bronx County",7284,2470,0.189068825910931,0.0348178137651822,0.620242914979757,0.0526315789473684
36005013500,"Census Tract 135, Bronx County, New York"," Bronx County",3908,1156,0.190311418685121,0.00865051903114187,0.681660899653979,0.0683391003460208
36005013800,"Census Tract 138, Bronx County, New York"," Bronx County",2989,1414,0.590523338048091,0.125884016973126,0.244695898161245,0.016973125884017
36005014100,"Census Tract 141, Bronx County, New York"," Bronx County",5355,2139,0.150537634408602,0.0224403927068724,0.705937353903693,0.101449275362319
36005014300,"Census Tract 143, Bronx County, New York"," Bronx County",968,219,0.0776255707762557,0,0.730593607305936,0.105022831050228
36005014400,"Census Tract 144, Bronx County, New York"," Bronx County",6049,1667,0.314337132573485,0.0437912417516497,0.557288542291542,0.0629874025194961
36005014500,"Census Tract 145, Bronx County, New York"," Bronx County",7360,1921,0.136387298282145,0.0869338885996877,0.68974492451848,0.0869338885996877
36005014701,"Census Tract 147.01, Bronx County, New York"," Bronx County",7023,1638,0.0921855921855922,0.0134310134310134,0.786935286935287,0.0818070818070818
36005014702,"Census Tract 147.02, Bronx County, New York"," Bronx County",5243,1331,0.048084147257701,0.0127723516153268,0.809166040570999,0.0999248685199098
36005014900,"Census Tract 149, Bronx County, New York"," Bronx County",4348,1398,0.32689556509299,0.0429184549356223,0.528612303290415,0.0286123032904149
36005015100,"Census Tract 151, Bronx County, New York"," Bronx County",5458,1876,0.212686567164179,0.0426439232409382,0.585820895522388,0.0613006396588486
36005015200,"Census Tract 152, Bronx County, New York"," Bronx County",2803,1325,0.415094339622642,0.190188679245283,0.329811320754717,0.0347169811320755
36005015300,"Census Tract 153, Bronx County, New York"," Bronx County",4466,1510,0.162913907284768,0.0198675496688742,0.710596026490066,0.0735099337748344
36005015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,806,0.174937965260546,0.0173697270471464,0.727047146401985,0.0744416873449131
36005015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,1749,0.164665523156089,0.0194396798170383,0.715265866209262,0.0840480274442539
36005015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,567,0.433862433862434,0.0687830687830688,0.382716049382716,0.0440917107583774
36005015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,426,0.197183098591549,0,0.676056338028169,0.110328638497653
36005016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,2079,0.551707551707552,0.128908128908129,0.22991822991823,0.0317460317460317
36005016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,1398,0.185264663805436,0.0329041487839771,0.698140200286123,0.0536480686695279
36005016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,824,0.521844660194175,0.0461165048543689,0.322815533980583,0.0752427184466019
36005016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,NA,NA,NA,NA,NA
36005016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,322,0.400621118012422,0.0496894409937888,0.354037267080745,0.0807453416149068
36005016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,405,0.207407407407407,0.0296296296296296,0.701234567901235,0.0246913580246914
36005016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,969,0.361197110423117,0.0763673890608875,0.457172342621259,0.022703818369453
36005016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,837,0.194743130227001,0.040621266427718,0.682198327359618,0.029868578255675
36005016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,374,0.288770053475936,0.0454545454545455,0.609625668449198,0.0561497326203209
36005017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,NA,NA,NA,NA,NA
36005017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,1844,0.0954446854663774,0.00596529284164859,0.757592190889371,0.105748373101952
36005017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,2227,0.151324651998204,0.0170633138751684,0.649753030983386,0.131118096093399
36005017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,1396,0.108166189111748,0.229942693409742,0.498567335243553,0.0787965616045845
36005017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,1802,0.132630410654828,0.0621531631520533,0.624306326304107,0.0654827968923418
36005017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,1836,0.12636165577342,0,0.679738562091503,0.106209150326797
36005017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,1388,0.0706051873198847,0.0100864553314121,0.75864553314121,0.0540345821325648
36005018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,1261,0.176050753370341,0.0206185567010309,0.679619349722443,0.0999206978588422
36005018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,2249,0.0947087594486438,0.0226767452200978,0.804357492218764,0.0351267229879947
36005018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,1691,0.163217031342401,0.0147841513897102,0.560023654642224,0.131874630396215
36005018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,1543,0.0933246921581335,0.0317563188593649,0.653272845106935,0.0900842514581983
36005018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,1689,0.513913558318532,0.0704558910597987,0.327412670219065,0.0568383658969805
36005018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,2300,0.156521739130435,0.0121739130434783,0.651304347826087,0.0639130434782609
36005018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,2463,0.202192448233861,0.0475030450669915,0.526593585058871,0.138043036946813
36005019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,1744,0.215022935779817,0.0372706422018349,0.678899082568807,0.0470183486238532
36005019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,901,0.476137624861265,0.025527192008879,0.391786903440622,0.0865704772475028
36005019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,2779,0.0820439006836992,0.060093558834113,0.632961496941346,0.127024109391868
36005019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,2612,0.104517611026034,0.0214395099540582,0.743108728943338,0.0700612557427259
36005019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,3218,0.158172778123058,0.0463020509633313,0.720633934120572,0.0463020509633313
36005020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,2024,0.174407114624506,0.0573122529644269,0.643774703557312,0.0538537549407115
36005020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,1582,0.190897597977244,0.0518331226295828,0.632111251580278,0.0486725663716814
